"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2132","5. Hover over elements","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4036","test","firefox","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","1857","3. Handle JS Prompt - Input Text","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1704","test","firefox","2026-03-13","passed","2026-03-13","","RR.spec.js","",""
"","1500","Search test for JavaScript","webkit","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1193","Search test for Java","firefox","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1122","3. Handle JS Prompt - Input Text","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1311","10. File Upload","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","301","Soft Assertions","chromium","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1602","1. Login and save state","firefox","2026-03-13","passed","2026-03-13","Authentication Management","auth.spec.js","",""
"","0","test","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","755","get started link","firefox","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","1123","Search test for Java","webkit","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1773","test","chromium","2026-03-13","passed","2026-03-13","","RR.spec.js","",""
"","1170","8. Handle Checkboxes","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1","contact page submit","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1234","2. Verify secure area without logging in again","firefox","2026-03-13","passed","2026-03-13","Authentication Management > Tests that require login","auth.spec.js","",""
"","0","test","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1915","6. Drag and Drop","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1911","2. Handle JS Confirm - Dismiss","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1251","9. Dynamic Loading - Wait for element","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","contact page submit","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","2652","test","chromium","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","1294","1. Login and save state","chromium","2026-03-13","passed","2026-03-13","Authentication Management","auth.spec.js","",""
"","0","contact page submit with Vanish@gmail.com and asdfghjklk","firefox","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","1822","iphone 17 pro","chromium","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","950","2. Verify secure area without logging in again","chromium","2026-03-13","passed","2026-03-13","Authentication Management > Tests that require login","auth.spec.js","",""
"","3808","1. Login and save state","webkit","2026-03-13","passed","2026-03-13","Authentication Management","auth.spec.js","",""
"","0","contact page title","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","2023","Polling Assertions","firefox","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","775","Search test for JavaScript","chromium","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1122","7. Select from Dropdown","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1202","5. Hover over elements","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1752","9. Dynamic Loading - Wait for element","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","contact page submit with arun@gmail.com and asdfghjklk","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","contact page submit with Vanish@gmail.com and asdfghjklk","chromium","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","0","contact page submit with arun@gmail.com and asdfghjklk","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1494","3. Handle JS Prompt - Input Text","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","test","webkit","2026-03-13","skipped","2026-03-13","","flipcart.spec.js","",""
"","3676","iphone 17 pro","webkit","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","286","Soft Assertions","firefox","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","11895","test","webkit","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","0","contact page submit with Pk@gmail.com and asdfghjklk","webkit","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","1724","iphone 17 pro","firefox","2026-03-13","passed","2026-03-13","","apple.spec.js","",""
"","1927","1. Handle JS Alert - Accept","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","2012","5. Hover over elements","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","contact page submit with arun@gmail.com and asdfghjklk","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1126","1. Handle JS Alert - Accept","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1581","2. Handle JS Confirm - Dismiss","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","817","Search test for Java","chromium","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","2089","8. Handle Checkboxes","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","902","Search test for Python","firefox","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","2036","Polling Assertions","webkit","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1135","2. Handle JS Confirm - Dismiss","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1582","1. Handle JS Alert - Accept","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","contact page title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
